2026-05-25 17:13:31 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,573'
2026-05-25 17:13:32 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:32 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:32 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,576'
2026-05-25 17:13:33 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:33 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:33 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,578'
2026-05-25 17:13:34 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:34 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:34 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,580'
2026-05-25 17:13:35 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:35 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:35 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,583'
2026-05-25 17:13:36 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:36 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:36 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,585'
2026-05-25 17:13:37 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:37 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:37 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,587'
2026-05-25 17:13:38 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:38 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:38 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,590'
2026-05-25 17:13:39 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:39 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:39 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,592'
2026-05-25 17:13:40 | DEBUG    | pages.population_clock_page    | Waiting for VISIBLE element: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:40 | DEBUG    | pages.population_clock_page    | Element visible: ('xpath', "//div[contains(@class,'counter-ticker')]")
2026-05-25 17:13:40 | DEBUG    | pages.population_clock_page    | Population count: '8,251,522,594'
